iter	NDCG:top=10;type=Base
0	0.2928863235
1	0.3012640144
2	0.3247860526
3	0.3298615285
4	0.3288536798
5	0.3328120137
6	0.3355458269
7	0.3355861501
8	0.3360206767
9	0.3370554726
10	0.3369148946
11	0.3370544374
12	0.3373298536
13	0.3376397996
14	0.3387559994
15	0.3394551785
16	0.3397686157
17	0.3397204228
18	0.3400079345
19	0.3390428781
20	0.338506098
21	0.3415474363
22	0.3427284518
23	0.3427940278
24	0.3434936137
25	0.34385658
26	0.3437184183
27	0.3442523752
28	0.3445796512
29	0.3448729821
30	0.3462382958
31	0.3480945591
32	0.3479853343
33	0.3479317258
34	0.3479449691
35	0.3487555828
36	0.3490035188
37	0.3488555971
38	0.3481374202
39	0.3508019356
40	0.3501298249
41	0.3504668848
42	0.3505387194
43	0.3504754129
44	0.3504717974
45	0.3513246348
46	0.3506210692
47	0.3512279208
48	0.350223701
49	0.3506841008
50	0.3506562726
51	0.3509045106
52	0.3508460426
53	0.3503785969
54	0.349453561
55	0.3504399467
56	0.3514170831
57	0.3513343313
58	0.3515851328
59	0.3510947164
60	0.3508843886
61	0.3510783484
62	0.3511117014
63	0.3512378793
64	0.3509027199
65	0.3510784514
66	0.3511674953
67	0.3513628297
68	0.3513045004
69	0.352128102
70	0.3520693508
71	0.3518323698
72	0.3513552866
73	0.3515272381
74	0.3525506115
75	0.352497202
76	0.3530084001
77	0.3526818706
78	0.3524024434
79	0.3525403163
80	0.352269045
81	0.3523249846
82	0.3521881735
83	0.3521509846
84	0.3525493884
85	0.3522962962
86	0.3523951532
87	0.3525433747
88	0.35255608
89	0.3530955391
90	0.3532344071
91	0.3536136186
92	0.3548053566
93	0.3549200177
94	0.3547126735
95	0.3546620714
96	0.3543900161
97	0.3539519875
98	0.354331459
99	0.3539249799
100	0.3537937036
101	0.3541956828
102	0.3547452548
103	0.3549489808
104	0.3544888158
105	0.3545567747
106	0.3543642315
107	0.3537864748
108	0.3538827517
109	0.3537128681
110	0.3539803753
111	0.3538297742
112	0.353627121
113	0.353614509
114	0.3541927943
115	0.3536333679
116	0.353657002
117	0.3541498964
118	0.3553291057
119	0.3560499871
120	0.3558855246
121	0.3562501893
122	0.3559313711
123	0.3560789116
124	0.3557157702
125	0.3558903322
126	0.3560251656
127	0.3557903578
128	0.3562957056
129	0.3563906846
130	0.3561902807
131	0.3562441994
132	0.3560905381
133	0.3555973749
134	0.3555789992
135	0.3557419745
136	0.3560437285
137	0.3562908783
138	0.3565813021
139	0.3566290181
140	0.3563608316
141	0.3569882395
142	0.3570129574
143	0.3569557411
144	0.3570520721
145	0.3573210978
146	0.3579345528
147	0.3578538856
148	0.358458162
149	0.3585641141
150	0.358652968
151	0.3586713978
152	0.3585884564
153	0.3587592043
154	0.3587204401
155	0.3587891006
156	0.3591076917
157	0.3589425743
158	0.3588217492
159	0.3589527203
160	0.3591134446
161	0.358946227
162	0.358942856
163	0.3593127615
164	0.3591638822
165	0.3592693542
166	0.359639669
167	0.3598734439
168	0.360195445
169	0.3603422556
170	0.3604498383
171	0.360981914
172	0.3605921088
173	0.359994805
174	0.3600819599
175	0.3605562354
176	0.3609030006
177	0.3606478337
178	0.3607464811
179	0.3600895673
180	0.3601979032
181	0.3608649606
182	0.3608255525
183	0.3605946838
184	0.3607362399
185	0.3606648705
186	0.360583292
187	0.3606462203
188	0.3602973437
189	0.3601478356
190	0.3601773509
191	0.3599610285
192	0.3601219793
193	0.35994501
194	0.3599437158
195	0.3601795086
196	0.3604008493
197	0.3602616476
198	0.3600397485
199	0.3601235841
200	0.3601501859
201	0.3601441938
202	0.3601830528
203	0.3600964409
204	0.3602329263
205	0.3603653741
206	0.360366519
207	0.3599583447
208	0.3603641985
209	0.3604185822
210	0.360430274
211	0.3609475707
212	0.3609559812
213	0.3613664422
214	0.3615996223
215	0.3621700573
216	0.3616830051
217	0.3621521081
218	0.3623359413
219	0.3622574438
220	0.3623618822
221	0.3622947805
222	0.3622024825
223	0.3622890706
224	0.3623163089
225	0.362428809
226	0.3624097405
227	0.3625715202
228	0.3622812496
229	0.3622595755
230	0.3621928826
231	0.3622184665
232	0.3623560542
233	0.3622856916
234	0.3622914137
235	0.3622839697
236	0.3621771474
237	0.3621120869
238	0.3623499165
239	0.362358865
240	0.3625058795
241	0.362328286
242	0.3623099869
243	0.361983427
244	0.3618323882
245	0.3618613183
246	0.3618323959
247	0.3617425085
248	0.3608049906
249	0.3610270344
250	0.3614258012
251	0.361192464
252	0.3614970668
253	0.361443911
254	0.3613313756
255	0.3614662466
256	0.3614574521
257	0.3613700537
258	0.3614509191
259	0.3613902932
260	0.3614686348
261	0.3614059966
262	0.3613573431
263	0.3616955953
264	0.3618165459
265	0.3618165459
266	0.3615341767
267	0.3616562755
268	0.3616484192
269	0.3616171305
270	0.3616289389
271	0.3617868401
272	0.3619100108
273	0.3619020051
274	0.3619044547
275	0.3621372862
276	0.3620935986
277	0.3619659868
278	0.3619902858
279	0.3620179739
280	0.36194921
281	0.36194921
282	0.362132405
283	0.362118743
284	0.3621639821
285	0.3623009562
286	0.3622926504
287	0.3622926504
288	0.3625141533
289	0.362384643
290	0.3626763626
291	0.3626763626
292	0.3627979098
293	0.3628123691
294	0.362506677
295	0.3626288383
296	0.3626288383
297	0.3628755379
298	0.3628906443
299	0.3627176855
300	0.3627176855
301	0.3623316004
302	0.3620432672
303	0.3620432672
304	0.3624487273
