iter	Passed	Remaining
0	118	118877
1	162	80929
2	199	66332
3	239	59548
4	275	54822
5	311	51679
6	348	49397
7	384	47632
8	421	46395
9	457	45308
10	494	44447
11	530	43698
12	567	43051
13	603	42490
14	640	42068
15	677	41669
16	716	41443
17	752	41068
18	788	40723
19	824	40403
20	860	40114
21	898	39949
22	934	39711
23	972	39560
24	1011	39437
25	1047	39232
26	1083	39036
27	1123	38986
28	1168	39123
29	1219	39427
30	1255	39252
31	1295	39184
32	1340	39277
33	1377	39139
34	1415	39028
35	1452	38902
36	1493	38880
37	1532	38784
38	1572	38747
39	1608	38599
40	1645	38493
41	1681	38352
42	1717	38220
43	1753	38087
44	1788	37961
45	1825	37852
46	1861	37737
47	1896	37621
48	1933	37516
49	1968	37408
50	2007	37349
51	2049	37358
52	2085	37260
53	2121	37162
54	2156	37057
55	2191	36950
56	2227	36854
57	2263	36759
58	2299	36671
59	2334	36578
60	2370	36490
61	2406	36408
62	2442	36329
63	2486	36371
64	2532	36436
65	2568	36350
66	2604	36263
67	2640	36183
68	2675	36097
69	2711	36021
70	2747	35944
71	2782	35865
72	2818	35794
73	2854	35716
74	2889	35641
75	2926	35583
76	2962	35512
77	2998	35446
78	3035	35386
79	3070	35315
80	3106	35246
81	3142	35175
82	3177	35106
83	3213	35037
84	3248	34968
85	3283	34899
86	3319	34833
87	3354	34762
88	3392	34728
89	3428	34668
90	3465	34613
91	3500	34548
92	3536	34488
93	3571	34427
94	3607	34365
95	3642	34303
96	3679	34252
97	3715	34202
98	3752	34152
99	3795	34158
100	3850	34271
101	3900	34338
102	3946	34372
103	3986	34345
104	4027	34326
105	4072	34348
106	4119	34383
107	4168	34429
108	4219	34490
109	4266	34522
110	4313	34545
111	4356	34540
112	4392	34478
113	4429	34422
114	4465	34362
115	4507	34350
116	4554	34374
117	4591	34317
118	4636	34323
119	4693	34417
120	4742	34450
121	4795	34510
122	4858	34645
123	4922	34773
124	4976	34835
125	5015	34793
126	5053	34740
127	5089	34669
128	5130	34638
129	5171	34609
130	5212	34579
131	5252	34539
132	5303	34569
133	5352	34589
134	5396	34578
135	5438	34549
136	5475	34493
137	5514	34446
138	5551	34387
139	5593	34361
140	5635	34332
141	5676	34300
142	5718	34269
143	5764	34268
144	5804	34224
145	5840	34161
146	5875	34092
147	5912	34036
148	5953	34002
149	5998	33991
150	6040	33962
151	6087	33963
152	6132	33947
153	6181	33957
154	6226	33944
155	6291	34039
156	6345	34074
157	6387	34039
158	6430	34013
159	6472	33981
160	6512	33936
161	6552	33893
162	6598	33884
163	6637	33833
164	6677	33792
165	6719	33760
166	6759	33714
167	6796	33659
168	6838	33624
169	6876	33574
170	6924	33570
171	6962	33518
172	7002	33473
173	7039	33418
174	7079	33374
175	7117	33324
176	7155	33272
177	7195	33227
178	7234	33181
179	7278	33156
180	7339	33209
181	7384	33188
182	7423	33143
183	7461	33088
184	7500	33042
185	7548	33033
186	7604	33060
187	7653	33057
188	7706	33069
189	7859	33507
190	7912	33513
191	7964	33516
192	8018	33527
193	8071	33535
194	8120	33524
195	8166	33499
196	8215	33486
197	8265	33480
198	8321	33496
199	8374	33499
200	8427	33500
201	8476	33486
202	8515	33433
203	8560	33402
204	8600	33353
205	8650	33343
206	8706	33355
207	8761	33362
208	8817	33370
209	8871	33372
210	8910	33320
211	8952	33275
212	8987	33208
213	9023	33141
214	9060	33079
215	9099	33027
216	9146	33002
217	9196	32989
218	9243	32965
219	9295	32956
220	9337	32915
221	9375	32855
222	9415	32807
223	9455	32755
224	9493	32698
225	9528	32634
226	9573	32598
227	9614	32554
228	9656	32510
229	9703	32484
230	9747	32449
231	9797	32432
232	9840	32392
233	9891	32379
234	9940	32360
235	9982	32316
236	10023	32269
237	10065	32225
238	10115	32207
239	10162	32180
240	10214	32170
241	10261	32141
242	10307	32109
243	10349	32066
244	10390	32018
245	10429	31968
246	10469	31917
247	10511	31874
248	10555	31837
249	10597	31791
250	10634	31734
251	10676	31689
252	10711	31627
253	10748	31568
254	10785	31509
255	10820	31447
256	10856	31386
257	10892	31325
258	10928	31265
259	10964	31206
260	11007	31166
261	11043	31107
262	11082	31055
263	11120	31003
264	11159	30951
265	11200	30907
266	11237	30851
267	11275	30797
268	11311	30737
269	11346	30678
270	11382	30619
271	11420	30565
272	11457	30511
273	11495	30459
274	11531	30401
275	11567	30343
276	11609	30301
277	11652	30261
278	11687	30204
279	11723	30146
280	11759	30089
281	11795	30031
282	11831	29976
283	11867	29918
284	11904	29866
285	11946	29824
286	11982	29767
287	12019	29715
288	12057	29663
289	12098	29620
290	12133	29563
291	12169	29506
292	12206	29454
293	12243	29400
294	12279	29346
295	12315	29290
296	12356	29248
297	12405	29223
298	12451	29193
299	12497	29159
300	12538	29117
301	12581	29079
302	12618	29026
303	12657	28978
304	12696	28932
305	12733	28879
306	12769	28824
307	12806	28772
308	12843	28720
309	12879	28666
310	12917	28617
311	12955	28567
312	12993	28518
313	13031	28469
314	13079	28442
315	13123	28407
316	13171	28379
317	13215	28342
318	13259	28305
319	13311	28287
320	13357	28254
321	13397	28209
322	13436	28161
323	13475	28116
324	13513	28065
325	13550	28015
326	13587	27964
327	13623	27911
328	13660	27860
329	13698	27812
330	13736	27763
331	13773	27712
332	13809	27661
333	13846	27609
334	13882	27557
335	13918	27506
336	13955	27455
337	13992	27404
338	14028	27354
339	14065	27303
340	14103	27255
341	14140	27206
342	14178	27158
343	14219	27116
344	14263	27079
345	14303	27035
346	14346	26997
347	14390	26961
348	14433	26922
349	14474	26880
350	14512	26833
351	14550	26787
352	14589	26739
353	14625	26690
354	14664	26643
355	14703	26597
356	14740	26549
357	14777	26500
358	14813	26449
359	14851	26403
360	14900	26374
361	14946	26343
362	14987	26300
363	15023	26249
364	15059	26199
365	15095	26149
366	15131	26099
367	15169	26052
368	15207	26004
369	15243	25955
370	15280	25906
371	15316	25856
372	15352	25806
373	15388	25757
374	15426	25710
375	15465	25666
376	15501	25617
377	15538	25568
378	15574	25518
