iter	Passed	Remaining
0	84	84476
1	102	50943
2	112	37515
3	122	30471
4	131	26162
5	140	23286
6	150	21289
7	158	19704
8	167	18487
9	176	17497
10	185	16697
11	194	16029
12	203	15476
13	213	15004
14	222	14583
15	231	14207
16	240	13888
17	249	13592
18	258	13322
19	266	13080
20	276	12890
21	285	12695
22	294	12530
23	303	12360
24	312	12201
25	321	12051
26	330	11911
27	339	11781
28	348	11676
29	357	11566
30	366	11458
31	375	11357
32	384	11264
33	393	11174
34	402	11087
35	411	11006
36	419	10929
37	428	10860
38	437	10790
39	446	10726
40	455	10664
41	464	10601
42	473	10541
43	482	10486
44	491	10434
45	500	10381
46	509	10330
47	518	10279
48	527	10230
49	535	10183
50	544	10138
51	553	10094
52	562	10051
53	571	10008
54	580	9967
55	589	9933
56	598	9894
57	607	9871
58	616	9835
59	625	9802
60	634	9767
61	643	9732
62	652	9700
63	661	9667
64	669	9636
65	678	9606
66	690	9618
67	702	9632
68	715	9652
69	727	9670
70	740	9688
71	752	9705
72	765	9721
73	779	9748
74	792	9768
75	800	9737
76	811	9721
77	819	9691
78	828	9660
79	837	9634
80	846	9605
81	855	9577
82	864	9549
83	873	9522
84	882	9496
85	894	9503
86	903	9481
87	912	9458
88	922	9438
89	931	9415
90	941	9407
91	950	9384
92	959	9359
93	968	9335
94	977	9313
95	986	9290
96	995	9268
97	1011	9310
98	1026	9342
99	1035	9323
100	1051	9363
101	1070	9423
102	1087	9468
103	1103	9503
104	1117	9527
105	1126	9501
106	1138	9499
107	1149	9496
108	1159	9477
109	1168	9453
110	1177	9429
111	1186	9406
112	1195	9383
113	1204	9359
114	1213	9336
115	1222	9315
116	1231	9293
117	1240	9271
118	1249	9248
119	1258	9225
120	1267	9205
121	1276	9184
122	1285	9163
123	1294	9143
124	1303	9122
125	1312	9100
126	1320	9079
127	1329	9058
128	1338	9038
129	1347	9018
130	1356	8997
131	1365	8977
132	1374	8957
133	1383	8938
134	1391	8918
135	1400	8899
136	1409	8880
137	1418	8861
138	1427	8842
139	1436	8822
140	1445	8804
141	1454	8787
142	1463	8769
143	1472	8750
144	1481	8733
145	1490	8716
146	1499	8698
147	1507	8680
